"userId","movieId","rating","year","y"
1,2,3.5,1995,0.00911406511183621
1,4915,3,1982,-0.490885934888164
1,4941,3.5,1980,0.00911406511183621
1,4980,3.5,1991,0.00911406511183621
1,4993,5,2001,1.50911406511184
1,5026,4,2001,0.509114065111836
1,5039,4,1981,0.509114065111836
1,5040,3,1984,-0.490885934888164
1,5146,3.5,2000,0.00911406511183621
1,5171,4,2002,0.509114065111836
1,5540,4,1981,0.509114065111836
1,5679,3.5,2002,0.00911406511183621
1,5797,4,1984,0.509114065111836
1,5816,4,2002,0.509114065111836
1,5898,3.5,1982,0.00911406511183621
1,5952,5,2002,1.50911406511184
1,5999,3.5,2000,0.00911406511183621
1,6093,4,1982,0.509114065111836
1,4911,4,1977,0.509114065111836
1,653,3,1996,-0.490885934888164
1,4896,4,2001,0.509114065111836
1,4878,3.5,2001,0.00911406511183621
1,3489,4,1991,0.509114065111836
1,3499,4,1990,0.509114065111836
1,3889,4,2000,0.509114065111836
1,3932,3,1933,-0.490885934888164
1,3996,4,2000,0.509114065111836
1,3997,3.5,2000,0.00911406511183621
1,4011,4,2000,0.509114065111836
1,4027,4,2000,0.509114065111836
1,6242,3.5,1998,0.00911406511183621
1,4105,3.5,1981,0.00911406511183621
1,4133,3,1987,-0.490885934888164
1,4226,3.5,2000,0.00911406511183621
1,4306,4,2001,0.509114065111836
1,4446,3.5,2001,0.00911406511183621
1,4467,4,1988,0.509114065111836
1,4571,4,1989,0.509114065111836
1,4720,3.5,2001,0.00911406511183621
1,4754,4,1973,0.509114065111836
1,4128,4,1987,0.509114065111836
1,3479,4,1985,0.509114065111836
1,6333,4,2003,0.509114065111836
1,6539,4,2003,0.509114065111836
1,8636,4.5,2004,1.00911406511184
1,8690,3.5,1972,0.00911406511183621
1,8961,4,2004,0.509114065111836
1,31696,4,2005,0.509114065111836
1,593,3.5,1991,0.00911406511183621
1,589,3.5,1991,0.00911406511183621
1,541,4,1982,0.509114065111836
1,367,3.5,1994,0.00911406511183621
1,337,3.5,1993,0.00911406511183621
1,318,4,1994,0.509114065111836
1,296,4,1994,0.509114065111836
1,293,4,1994,0.509114065111836
1,260,4,1977,0.509114065111836
1,253,4,1994,0.509114065111836
1,223,4,1994,0.509114065111836
1,151,4,1995,0.509114065111836
1,112,3.5,1995,0.00911406511183621
1,8507,5,1932,1.50911406511184
1,8482,3.5,1945,0.00911406511183621
1,8368,4,2004,0.509114065111836
1,7757,4,1963,0.509114065111836
1,6754,4,2003,0.509114065111836
1,6755,3.5,2002,0.00911406511183621
1,6774,4,1983,0.509114065111836
1,6807,3.5,1983,0.00911406511183621
